,FileName,genotype,Time,TRL,GRTR,L1R,GR1R,TNLR,TLRL,N2LR,L2LR,ML2LR,GR2L,D2LR,Height,Width,Magnitude,Altitude,ExtPathLength
1,dense-3-1-12_1,dense,4,118.1102609,118.1102609,118.1102609,118.1102609,0,0,0,0,0,0,0,115.9124,20.61023181,1,1,1
2,dense-3-1-12_1,dense,5,236.2205301,118.1102692,236.2204729,118.110212,3,5.72E-05,3,5.72E-05,1.91E-05,5.72E-05,0.0127,231.452896,43.94336181,4,4,13
3,dense-3-1-12_1,dense,6,590.5513402,354.3308101,354.3307258,118.110253,13,236.2206144,13,236.2206144,18.17081649,236.2205572,0.036688887,348.096543,106.997009,14,14,118
4,dense-3-1-12_1,dense,7,1594.488666,1003.937326,472.4409568,118.110231,22,1122.047709,22,1122.047709,51.00216861,885.8270951,0.046566665,465.219712,168.762726,23,23,298
5,dense-3-1-12_1,dense,8,3661.418037,2066.929371,590.5511298,118.110173,29,3070.866908,29,3070.866908,105.8919623,1948.819198,0.049106671,581.160202,232.970459,30,30,494
6,dense-3-1-12_1,dense,9,6259.843341,2598.425304,708.6612999,118.1101701,36,5551.182041,36,5551.182041,154.1995011,2480.315134,0.050800008,698.463364,289.515319,37,37,739
7,dense-3-1-12_1,dense,10,8622.04821,2362.204869,826.7715636,118.1102637,44,7795.276647,44,7795.276647,177.1653783,2244.094605,0.053219053,816.044541,393.268646,45,45,1079
8,dense-3-1-12_1,dense,11,11043.30837,2421.260156,885.8267497,59.05518615,54,10157.48162,54,10157.48162,188.1015114,2362.20497,0.060960002,873.693711,458.434601,55,55,1594
9,dense-3-1-12_1,dense,12,14409.45012,3366.141752,1062.992102,177.1653522,54,13346.45802,54,13346.45802,247.1566299,3188.976399,0.050800001,1048.674179,475.377411,55,55,1594
10,dense-3-10-12_1,dense,3,59.05510977,19.68503659,59.05510977,19.68503659,0,0,0,0,0,0,0,58.706436,5.013515497,1,1,1
11,dense-3-10-12_1,dense,4,177.1653225,118.1102127,177.1653225,118.1102127,0,0,0,0,0,0,0,175.618363,11.743286,1,1,1
12,dense-3-10-12_1,dense,5,295.2757652,118.1104427,295.2755638,118.1102413,7,0.000201388,7,0.000201388,2.88E-05,0.000201388,0.023706669,292.818344,26.156555,8,8,43
13,dense-3-10-12_1,dense,6,1299.21291,1003.937145,413.3858314,118.1102676,13,885.8270785,13,885.8270785,68.1405445,885.8268771,0.031447619,409.405014,150.980834,14,14,118
14,dense-3-10-12_1,dense,7,2598.425811,1299.212901,531.4961266,118.1102952,20,2066.929684,20,2066.929684,103.3464842,1181.102606,0.037629625,527.185715,256.082855,21,21,251
15,dense-3-10-12_1,dense,8,4311.024443,1712.598633,649.6062818,118.1101551,27,3661.418162,27,3661.418162,135.6080801,1594.488478,0.041563637,644.408859,310.145172,28,28,433
16,dense-3-10-12_1,dense,9,6023.622776,1712.598333,767.7165759,118.1102942,33,5255.9062,33,5255.9062,159.2698849,1594.488039,0.042984613,760.384751,346.931366,34,34,628
17,dense-3-10-12_1,dense,10,8090.552105,2066.929328,885.8267913,118.1102154,41,7204.725313,41,7204.725313,175.7250076,1948.819113,0.046284443,871.567856,417.08786,42,42,944
18,dense-3-10-12_1,dense,11,10688.97808,2598.425971,1003.937162,118.1103709,48,9685.040914,48,9685.040914,201.7716857,2480.3156,0.047811757,985.085312,421.50473,49,49,1273
19,dense-3-10-12_1,dense,12,13996.06481,3307.086729,1181.102654,177.1654919,48,12814.96215,48,12814.96215,266.9783781,3129.921238,0.04063999,1141.587509,442.330474,49,49,1273
20,dense-3-2-9_1,dense,3,118.1103217,118.1103217,118.1102393,118.1102393,4,8.24E-05,4,8.24E-05,2.06E-05,8.24E-05,0.033866666,117.881424,3.221008,5,5,19
21,dense-3-2-9_1,dense,4,767.7168669,649.6065451,236.2204914,118.1102521,12,531.4963755,12,531.4963755,44.29136462,531.496293,0.050799996,235.881027,179.625123,13,13,103
22,dense-3-2-9_1,dense,5,1948.819533,1181.102666,354.3307448,118.1102535,21,1594.488788,21,1594.488788,75.92803752,1062.992412,0.059266661,353.755966,219.298401,22,22,274
23,dense-3-2-9_1,dense,6,3543.307823,1594.488291,472.4409751,118.1102303,31,3070.866848,31,3070.866848,99.06022091,1476.378061,0.065616662,471.442368,326.630524,32,32,559
24,dense-3-2-9_1,dense,7,5964.567777,2421.259953,590.5512089,118.1102338,40,5374.016568,40,5374.016568,134.3504142,2303.14972,0.06773333,589.345749,355.881927,41,41,901
25,dense-3-2-9_1,dense,8,8503.938438,2539.370662,708.6614983,118.1102894,48,7795.27694,48,7795.27694,162.4016029,2421.260372,0.067733326,707.183151,379.551788,49,49,1273
26,dense-3-2-9_1,dense,9,12283.46591,3779.52747,885.8269152,177.1654169,48,11397.63899,48,11397.63899,237.4508124,3602.362053,0.054186658,883.845566,411.447052,49,49,1273
27,dense-3-3-9_1,dense,3,118.1103238,118.1103238,118.1102365,118.1102365,4,8.73E-05,4,8.73E-05,2.18E-05,8.73E-05,0.033866667,117.591934,5.999085,5,5,19
28,dense-3-3-9_1,dense,4,472.4411672,354.3308434,236.2204768,118.1102403,12,236.2206905,12,236.2206905,19.68505754,236.2206031,0.050799999,235.406052,78.320434,13,13,103
29,dense-3-3-9_1,dense,5,1594.488563,1122.047396,354.3307337,118.110257,20,1240.157829,20,1240.157829,62.00789146,1003.937139,0.05644444,352.617539,173.754913,21,21,251
30,dense-3-3-9_1,dense,6,3366.142234,1771.653671,413.3857884,59.05505466,29,2952.756446,29,2952.756446,101.8191878,1712.598617,0.070152387,411.670944,315.628357,30,30,494
31,dense-3-3-9_1,dense,7,5314.961334,1948.8191,531.4960409,118.1102525,34,4783.465294,34,4783.465294,140.6901557,1830.708848,0.063970373,528.851914,315.628357,35,35,664
32,dense-3-3-9_1,dense,8,7204.725237,1889.763902,649.6062923,118.1102514,43,6555.118944,43,6555.118944,152.4446266,1771.653651,0.06619394,646.814926,317.990417,44,44,1033
33,dense-3-3-9_1,dense,9,10216.53656,3011.811323,826.7716326,177.1653403,43,9389.764927,43,9389.764927,218.3666262,2834.645982,0.052009525,822.616074,317.990417,44,44,1033
34,dense-3-4-12_1,dense,4,118.1102262,118.1102262,118.1102262,118.1102262,0,0,0,0,0,0,0,117.979386,2.565185,1,1,1
35,dense-3-4-12_1,dense,5,236.2205705,118.1103444,236.2204857,118.1102595,3,8.48E-05,3,8.48E-05,2.83E-05,8.48E-05,0.012699999,233.366898,26.235717,4,4,13
36,dense-3-4-12_1,dense,6,590.5515576,354.3309871,354.3307457,118.11026,11,236.2208119,11,236.2208119,21.47461926,236.2207271,0.031044441,350.688034,100.523193,12,12,89
37,dense-3-4-12_1,dense,7,1535.433433,944.8818753,472.4409475,118.1102018,18,1062.992485,18,1062.992485,59.05513808,826.7716735,0.0381,468.251267,162.839569,19,19,208
38,dense-3-4-12_1,dense,8,3129.921977,1594.488544,531.4960672,59.05511967,25,2598.42591,25,2598.42591,103.9370364,1535.433425,0.047037037,527.29393,301.543518,26,26,376
39,dense-3-4-12_1,dense,9,5314.961792,2185.039815,649.6063632,118.1102961,34,4665.355429,34,4665.355429,137.2163362,2066.929519,0.052339389,643.900681,376.869324,35,35,664
40,dense-3-4-12_1,dense,10,7500.001148,2185.039356,767.7165524,118.1101892,39,6732.284596,39,6732.284596,172.6226819,2066.929167,0.050799999,761.285691,413.803345,40,40,859
41,dense-3-4-12_1,dense,11,9685.040712,2185.039564,885.8267735,118.1102212,47,8799.213939,47,8799.213939,187.2173178,2066.929343,0.053057778,879.128647,413.803345,48,48,1223
42,dense-3-4-12_1,dense,12,12755.90673,3070.86602,1062.99212,177.1653468,47,11692.91461,47,11692.91461,248.7854173,2893.700673,0.044214815,1054.961411,417.77948,48,48,1223
43,dense-3-5-12_1,dense,4,118.1102308,118.1102308,118.1102308,118.1102308,0,0,0,0,0,0,0,117.214279,13.11145633,1,1,1
44,dense-3-5-12_1,dense,5,236.2205549,118.1103241,236.2204758,118.110245,3,7.91E-05,3,7.91E-05,2.64E-05,7.91E-05,0.0127,233.147599,35.487427,4,4,13
45,dense-3-5-12_1,dense,6,708.6617987,472.4412438,354.3307262,118.1102504,11,354.3310725,11,354.3310725,32.21191568,354.3309934,0.031044443,349.125351,91.701477,12,12,89
46,dense-3-5-12_1,dense,7,1712.598855,1003.937057,472.4410127,118.1102866,19,1240.157843,19,1240.157843,65.2714654,885.8267701,0.040216661,466.904831,179.41629,20,20,229
47,dense-3-5-12_1,dense,8,3484.252642,1771.653787,590.5511595,118.1101468,27,2893.701482,27,2893.701482,107.174129,1653.54364,0.045720002,584.504196,276.077301,28,28,433
48,dense-3-5-12_1,dense,9,5846.457425,2362.204783,708.6613501,118.1101906,36,5137.796075,36,5137.796075,142.7165576,2244.094593,0.050800005,702.287033,366.868042,37,37,739
49,dense-3-5-12_1,dense,10,8858.268531,3011.811105,826.7716058,118.1102556,44,8031.496925,44,8031.496925,182.534021,2893.70085,0.053219051,819.741562,433.700622,45,45,1079
50,dense-3-5-12_1,dense,11,11988.18984,3129.921311,944.8818747,118.110269,52,11043.30797,52,11043.30797,212.3713071,3011.811042,0.055033334,937.724106,453.633545,53,53,1483
51,dense-3-5-12_1,dense,12,15413.38711,3425.197269,1122.047324,177.1654488,52,14291.33979,52,14291.33979,274.8334574,3248.03182,0.046343856,1113.889511,453.633545,53,53,1483
52,dense-3-6-12_1,dense,3,59.05510806,19.68503602,59.05510806,19.68503602,0,0,0,0,0,0,0,57.958237,9.116649448,1,1,1
53,dense-3-6-12_1,dense,4,177.1653332,118.1102251,177.1653332,118.1102251,0,0,0,0,0,0,0,174.448197,14.750977,1,1,1
54,dense-3-6-12_1,dense,5,295.2758038,118.1104706,295.2755968,118.1102636,7,0.000206984,7,0.000206984,2.96E-05,0.000206984,0.023706666,292.375229,17.583435,8,8,43
55,dense-3-6-12_1,dense,6,1240.157911,944.8821076,413.3858451,118.1102483,16,826.7720663,16,826.7720663,51.67325414,826.7718593,0.03870476,405.507614,187.275268,17,17,169
56,dense-3-6-12_1,dense,7,3070.866779,1830.708868,531.4960933,118.1102483,21,2539.370686,21,2539.370686,120.9224136,1712.59862,0.039511109,522.754135,246.996429,22,22,274
57,dense-3-6-12_1,dense,8,4724.410459,1653.54368,649.6064044,118.1103111,30,4074.804055,30,4074.804055,135.8268018,1535.433369,0.046181811,639.242844,254.441253,31,31,526
58,dense-3-6-12_1,dense,9,7027.560217,2303.149758,767.7166551,118.1102507,39,6259.843562,39,6259.843562,160.5088093,2185.039508,0.050799992,756.901047,338.194275,40,40,859
59,dense-3-6-12_1,dense,10,9330.709983,2303.149765,885.8269043,118.1102492,49,8444.883078,49,8444.883078,172.3445526,2185.039516,0.055315547,873.144394,396.077789,50,50,1324
60,dense-3-6-12_1,dense,11,12047.2458,2716.53582,1003.937106,118.1102017,56,11043.3087,56,11043.3087,197.201941,2598.425618,0.055780387,982.135605,469.309356,57,57,1709
61,dense-3-6-12_1,dense,12,16535.4351,4488.189293,1181.102498,177.1653921,56,15354.3326,56,15354.3326,274.1845107,4311.023901,0.047413328,1153.526108,556.507812,57,57,1709
62,dense-3-7-10_1,dense,3,118.1103632,118.1103632,118.1102526,118.1102526,4,0.000110612,4,0.000110612,2.77E-05,0.000110612,0.033866662,116.199448,17.42427979,5,5,19
63,dense-3-7-10_1,dense,4,472.4413223,354.3309591,236.2204881,118.1102355,14,236.2208342,14,236.2208342,16.87291673,236.2207236,0.059266663,228.717514,86.796508,15,15,134
64,dense-3-7-10_1,dense,5,1535.433485,1062.992162,295.2756345,59.05514635,23,1240.15785,23,1240.15785,53.91990653,1003.937016,0.077893322,287.530747,163.964966,24,24,323
65,dense-3-7-10_1,dense,6,3425.197368,1889.763884,413.385882,118.1102475,27,3011.811486,27,3011.811486,111.5485736,1771.653636,0.065314277,405.579941,221.244965,28,28,433
66,dense-3-7-10_1,dense,7,5374.016616,1948.819247,531.4960388,118.1101567,37,4842.520577,37,4842.520577,130.8789345,1830.709091,0.069614818,523.60405,228.83374,38,38,778
67,dense-3-7-10_1,dense,8,7736.22144,2362.204825,649.6061999,118.1101611,47,7086.61524,47,7086.61524,150.7790477,2244.094663,0.072351526,638.074326,290.351471,48,48,1223
68,dense-3-7-10_1,dense,9,10039.37137,2303.149932,708.6613663,59.05516637,54,9330.710006,54,9330.710006,172.790926,2244.094766,0.076200005,689.472092,316.733215,55,55,1594
69,dense-3-7-10_1,dense,10,13818.89895,3779.527578,885.826698,177.1653317,54,12933.07225,54,12933.07225,239.501338,3602.362246,0.060960005,839.905503,324.967682,55,55,1594
70,dense-3-8-9_1,dense,3,118.1102626,118.1102626,118.1102125,118.1102125,3,5.01E-05,3,5.01E-05,1.67E-05,5.01E-05,0.025400005,115.265152,21.87989046,4,4,13
71,dense-3-8-9_1,dense,4,590.5513796,472.4411171,236.2204475,118.110235,9,354.3309321,9,354.3309321,39.37010357,354.3308821,0.038100004,223.559067,136.697815,10,10,64
72,dense-3-8-9_1,dense,5,1476.37848,885.8271002,354.3306724,118.110225,19,1122.047807,19,1122.047807,59.05514776,767.7168752,0.053622228,324.174912,268.794952,20,20,229
73,dense-3-8-9_1,dense,6,3602.36282,2125.984341,472.4408752,118.1102027,26,3129.921945,26,3129.921945,120.3816133,2007.874138,0.055033341,437.884506,373.494964,27,27,404
74,dense-3-8-9_1,dense,7,5078.740986,1476.378166,590.5511219,118.1102467,35,4488.189864,35,4488.189864,128.2339961,1358.267919,0.059266673,551.277756,434.53064,36,36,701
75,dense-3-8-9_1,dense,8,7854.331807,2775.590821,708.6614176,118.1102957,42,7145.67039,42,7145.67039,170.1350093,2657.480525,0.059266667,668.116806,499.365723,43,43,988
76,dense-3-8-9_1,dense,9,11102.36327,3248.031465,885.8267803,177.1653627,42,10216.53649,42,10216.53649,243.2508689,3070.866103,0.047413333,843.918808,564.960312,43,43,988
77,dense-3-9-12_1,dense,4,118.1102347,118.1102347,118.1102347,118.1102347,0,0,0,0,0,0,0,117.360398,11.5932725,1,1,1
78,dense-3-9-12_1,dense,5,236.2205556,118.1103209,236.2204961,118.1102614,3,5.95E-05,3,5.95E-05,1.98E-05,5.95E-05,0.012699999,235.209702,18.4504505,4,4,13
